Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Hospital
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
만성 담즙 정체,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,,외과
만성 담즙 정체,가려움,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,,외과
만성 담즙 정체,가려움,구토,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,,외과
만성 담즙 정체,가려움,구토,황색 피부,식욕 감소,복통,눈의 황변,,,,,,,,,,,,외과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,복통,눈의 황변,,,,,,,,,,,,외과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,눈의 황변,,,,,,,,,,,,외과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,,,,,,,,,,,,외과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
만성 담즙 정체,가려움,구토,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,,외과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,정신과
약물 반응,가려움,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,,정신과
약물 반응,가려움,피부 발진,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,,정신과
약물 반응,가려움,피부 발진,복통,혈뇨,,,,,,,,,,,,,,정신과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,,,,,,,,,,,,,,정신과
약물 반응,피부 발진,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,,정신과
약물 반응,가려움,복통,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,,정신과
약물 반응,가려움,피부 발진,배뇨 시 화끈거림,혈뇨,,,,,,,,,,,,,,정신과
약물 반응,가려움,피부 발진,복통,혈뇨,,,,,,,,,,,,,,정신과
약물 반응,가려움,피부 발진,복통,배뇨 시 화끈거림,,,,,,,,,,,,,,정신과
소화성 궤양,구토,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,,종합병원
소화성 궤양,구토,소화 불량,복통,가스 배출,내부 가려움,,,,,,,,,,,,,종합병원
소화성 궤양,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,,종합병원
소화성 궤양,구토,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,,종합병원
소화성 궤양,구토,소화 불량,복통,가스 배출,내부 가려움,,,,,,,,,,,,,종합병원
소화성 궤양,구토,소화 불량,식욕 감소,가스 배출,내부 가려움,,,,,,,,,,,,,종합병원
소화성 궤양,구토,소화 불량,식욕 감소,복통,내부 가려움,,,,,,,,,,,,,종합병원
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,,,,,,,,,,,,,종합병원
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,종합병원
소화성 궤양,구토,소화 불량,식욕 감소,복통,가스 배출,내부 가려움,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
에이즈,목구멍의 반점,고열,외도,,,,,,,,,,,,,,,종합병원
에이즈,근육 소모,고열,외도,,,,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,외도,,,,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,,,,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,외도,,,,,,,,,,,,,,종합병원
에이즈,목구멍의 반점,고열,외도,,,,,,,,,,,,,,,종합병원
에이즈,근육 소모,고열,외도,,,,,,,,,,,,,,,종합병원
에이즈,근육 소모,목구멍의 반점,고열,,,,,,,,,,,,,,,종합병원
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,내과
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,내과
당뇨병,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,,내과
당뇨병,피로,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,,내과
당뇨병,피로,체중 감소,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,,내과
당뇨병,피로,체중 감소,불안정,불규칙한 혈당,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,,내과
당뇨병,피로,체중 감소,불안정,무기력,시력 흐림 및 왜곡,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,,내과
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,비만,과도한 허기,식욕 증가,다뇨,,,,,,,,,내과
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,과도한 허기,식욕 증가,다뇨,,,,,,,,,내과
당뇨병,피로,체중 감소,불안정,무기력,불규칙한 혈당,시력 흐림 및 왜곡,비만,식욕 증가,다뇨,,,,,,,,,내과
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
위장염,눈의 함몰,탈수,설사,,,,,,,,,,,,,,,종합병원
위장염,구토,탈수,설사,,,,,,,,,,,,,,,종합병원
위장염,구토,눈의 함몰,설사,,,,,,,,,,,,,,,종합병원
위장염,구토,눈의 함몰,탈수,,,,,,,,,,,,,,,종합병원
위장염,구토,눈의 함몰,탈수,설사,,,,,,,,,,,,,,종합병원
위장염,눈의 함몰,탈수,설사,,,,,,,,,,,,,,,종합병원
위장염,구토,탈수,설사,,,,,,,,,,,,,,,종합병원
위장염,구토,눈의 함몰,설사,,,,,,,,,,,,,,,종합병원
기관지 천식,피로,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,호흡기내과
기관지 천식,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,,호흡기내과
기관지 천식,피로,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,,호흡기내과
기관지 천식,피로,기침,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,,호흡기내과
기관지 천식,피로,기침,고열,가족력,점액성 가래,,,,,,,,,,,,,호흡기내과
기관지 천식,피로,기침,고열,숨가쁨,점액성 가래,,,,,,,,,,,,,호흡기내과
기관지 천식,피로,기침,고열,숨가쁨,가족력,,,,,,,,,,,,,호흡기내과
기관지 천식,피로,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,호흡기내과
기관지 천식,기침,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,,호흡기내과
기관지 천식,피로,고열,숨가쁨,가족력,점액성 가래,,,,,,,,,,,,,호흡기내과
고혈압,두통,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,내과
고혈압,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,,내과
고혈압,두통,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,,내과
고혈압,두통,가슴 통증,균형 상실,집중력 부족,,,,,,,,,,,,,,내과
고혈압,두통,가슴 통증,어지러움,집중력 부족,,,,,,,,,,,,,,내과
고혈압,두통,가슴 통증,어지러움,균형 상실,,,,,,,,,,,,,,내과
고혈압,두통,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,내과
고혈압,가슴 통증,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,,내과
고혈압,두통,어지러움,균형 상실,집중력 부족,,,,,,,,,,,,,,내과
고혈압,두통,가슴 통증,균형 상실,집중력 부족,,,,,,,,,,,,,,내과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,신경과
편두통,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,,신경과
편두통,산성 역류,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,,신경과
편두통,산성 역류,소화 불량,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,,신경과
편두통,산성 역류,소화 불량,두통,과도한 허기,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,,신경과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,목 경직,우울증,성미 급함,시각 장애,,,,,,,,,,신경과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,우울증,성미 급함,시각 장애,,,,,,,,,,신경과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,성미 급함,시각 장애,,,,,,,,,,신경과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,시각 장애,,,,,,,,,,신경과
편두통,산성 역류,소화 불량,두통,시력 흐림 및 왜곡,과도한 허기,목 경직,우울증,성미 급함,,,,,,,,,,신경과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
경추증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,,정형외과
경추증,허리 통증,목 통증,어지러움,균형 상실,,,,,,,,,,,,,,정형외과
경추증,허리 통증,사지 약화,어지러움,균형 상실,,,,,,,,,,,,,,정형외과
경추증,허리 통증,사지 약화,목 통증,균형 상실,,,,,,,,,,,,,,정형외과
경추증,허리 통증,사지 약화,목 통증,어지러움,,,,,,,,,,,,,,정형외과
경추증,허리 통증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,정형외과
경추증,사지 약화,목 통증,어지러움,균형 상실,,,,,,,,,,,,,,정형외과
경추증,허리 통증,목 통증,어지러움,균형 상실,,,,,,,,,,,,,,정형외과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
마비(뇌출혈),두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,,신경과
마비(뇌출혈),구토,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,,신경과
마비(뇌출혈),구토,두통,감각 변화,,,,,,,,,,,,,,,신경과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,,,,,,,,,,,,,,,신경과
마비(뇌출혈),구토,두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,신경과
마비(뇌출혈),두통,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,,신경과
마비(뇌출혈),구토,한쪽 몸의 약화,감각 변화,,,,,,,,,,,,,,,신경과
마비(뇌출혈),구토,두통,감각 변화,,,,,,,,,,,,,,,신경과
황달,가려움,구토,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,종합병원
황달,가려움,구토,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,종합병원
황달,구토,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,,종합병원
황달,가려움,피로,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,,종합병원
황달,가려움,구토,체중 감소,고열,황색 피부,어두운 소변,복통,,,,,,,,,,,종합병원
황달,가려움,구토,피로,고열,황색 피부,어두운 소변,복통,,,,,,,,,,,종합병원
황달,가려움,구토,피로,체중 감소,황색 피부,어두운 소변,복통,,,,,,,,,,,종합병원
황달,가려움,구토,피로,체중 감소,고열,어두운 소변,복통,,,,,,,,,,,종합병원
황달,가려움,구토,피로,체중 감소,고열,황색 피부,복통,,,,,,,,,,,종합병원
황달,가려움,구토,피로,체중 감소,고열,황색 피부,어두운 소변,,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,근육통,,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,종합병원
말라리아,구토,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,,종합병원
말라리아,오한,고열,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,,종합병원
말라리아,오한,구토,발한,두통,메스꺼움,설사,근육통,,,,,,,,,,,종합병원
말라리아,오한,구토,고열,두통,메스꺼움,설사,근육통,,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,메스꺼움,설사,근육통,,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,설사,근육통,,,,,,,,,,,종합병원
말라리아,오한,구토,고열,발한,두통,메스꺼움,근육통,,,,,,,,,,,종합병원
수두,가려움,피부 발진,피로,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,소아과
수두,피부 발진,피로,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
수두,가려움,피로,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
수두,가려움,피부 발진,무기력,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
수두,가려움,피부 발진,피로,고열,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
수두,가려움,피부 발진,피로,무기력,두통,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
수두,가려움,피부 발진,피로,무기력,고열,식욕 감소,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
수두,가려움,피부 발진,피로,무기력,고열,두통,약한 열,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
수두,가려움,피부 발진,피로,무기력,고열,두통,식욕 감소,림프절 부종,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
수두,가려움,피부 발진,피로,무기력,고열,두통,식욕 감소,약한 열,불쾌감,몸 전체의 붉은 반점,,,,,,,,소아과
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,근육통,몸 전체의 붉은 반점,,,,,종합병원
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,몸 전체의 붉은 반점,,,,,종합병원
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,,,,,종합병원
뎅기열,피부 발진,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,종합병원
뎅기열,오한,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,,종합병원
뎅기열,피부 발진,관절통,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,,종합병원
뎅기열,피부 발진,오한,구토,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,,종합병원
뎅기열,피부 발진,오한,관절통,피로,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,,종합병원
뎅기열,피부 발진,오한,관절통,구토,고열,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,,종합병원
뎅기열,피부 발진,오한,관절통,구토,피로,두통,메스꺼움,식욕 감소,눈 뒤편의 통증,허리 통증,불쾌감,근육통,몸 전체의 붉은 반점,,,,,종합병원
장티푸스,오한,구토,피로,고열,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,복통,설사,독성 외모(타이푸스),복통,,,,,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,설사,독성 외모(타이푸스),복통,,,,,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,독성 외모(타이푸스),복통,,,,,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,복통,,,,,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),,,,,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,종합병원
장티푸스,오한,구토,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,종합병원
장티푸스,오한,피로,고열,두통,메스꺼움,변비,복통,설사,독성 외모(타이푸스),복통,,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,종합병원
A형 간염,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,,종합병원
A형 간염,관절통,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,,종합병원
A형 간염,관절통,구토,어두운 소변,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,메스꺼움,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,식욕 감소,복통,설사,약한 열,눈의 황변,근육통,,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,복통,설사,약한 열,눈의 황변,근육통,,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,설사,약한 열,눈의 황변,근육통,,,,,,,,종합병원
A형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,약한 열,눈의 황변,근육통,,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,종합병원
B형 간염,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,,종합병원
B형 간염,가려움,무기력,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,,종합병원
B형 간염,가려움,피로,황색 피부,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,,종합병원
B형 간염,가려움,피로,무기력,어두운 소변,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,식욕 감소,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,복통,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,노란 소변,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,,종합병원
B형 간염,가려움,피로,무기력,황색 피부,어두운 소변,식욕 감소,복통,눈의 황변,불쾌감,수혈 받음,비멸균 주사 사용,,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,가족력,,,,,,,,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,종합병원
C형 간염,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,,종합병원
C형 간염,피로,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,,종합병원
C형 간염,피로,황색 피부,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,눈의 황변,가족력,,,,,,,,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,가족력,,,,,,,,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,,,,,,,,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,종합병원
C형 간염,피로,황색 피부,메스꺼움,식욕 감소,눈의 황변,가족력,,,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,종합병원
D형 간염,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,종합병원
D형 간염,관절통,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,종합병원
D형 간염,관절통,구토,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,식욕 감소,복통,눈의 황변,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,복통,눈의 황변,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,눈의 황변,,,,,,,,,,종합병원
D형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,,,,,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,혼수 상태,위 출혈,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,종합병원
E형 간염,구토,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,,종합병원
E형 간염,관절통,피로,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,,종합병원
E형 간염,관절통,구토,고열,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,,종합병원
E형 간염,관절통,구토,피로,황색 피부,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,어두운 소변,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,,종합병원
E형 간염,관절통,구토,피로,고열,황색 피부,메스꺼움,식욕 감소,복통,눈의 황변,급성 간부전,혼수 상태,위 출혈,,,,,,종합병원
